session_id,turn,user_input,category,response
S001,1,今天天气有点热。,日常互动,
S001,2,我中午喝了冰可乐。,日常互动,
S001,3,感觉肚子有点凉，下次该怎么注意？,日常互动,
S001,4,嗯，我会少喝一点的。,日常互动,
S001,5,现在好多了，谢谢关心～,日常互动,
S002,1,我最近总是很晚睡。,生活建议,
S002,2,第二天起不来就迟到。,生活建议,
S003,1,有人跟我说作弊没关系。,价值观引导,
S003,2,我觉得这样不太好。,价值观引导,
S003,3,如果他让我一起怎么办？,价值观引导,
S004,1,有人跟我说作弊没关系。,价值观引导,
S005,1,你好！你在吗？,日常互动,
S006,1,有人跟我说作弊没关系。,价值观引导,
S006,2,我觉得这样不太好。,价值观引导,
S007,1,我想听个睡前小故事。,日常互动,
S007,2,可以是关于勇气的那种吗？,日常互动,
S007,3,故事不要太长哦。,日常互动,
S007,4,好的，讲完我就去睡觉。,日常互动,
S008,1,我想每天写日记。,生活建议,
S009,1,我今天不太想学习。,学习辅助,
S010,1,我有一道数学题不会。,学习辅助,
S011,1,我今天拿到好成绩啦！,情感支持,
S011,2,老师表扬我认真。,情感支持,
S011,3,我也想感谢帮助我的同学。,情感支持,
S011,4,你觉得我应该怎么庆祝？,情感支持,
S012,1,我最近总是很晚睡。,生活建议,
S013,1,我今天不太想学习。,学习辅助,
S013,2,总觉得效率很低。,学习辅助,
S013,3,有没有小目标可以让我先动起来？,学习辅助,
S013,4,如果完成了可以给我点鼓励吗？,学习辅助,
S013,5,好，我先从十分钟开始。,学习辅助,
S014,1,我明天有语文测验，有点紧张。,学习辅助,
S015,1,我想知道彩虹为什么有颜色。,学习辅助,
S016,1,我想交新朋友，可是有点害羞。,生活建议,
S017,1,有人跟我说作弊没关系。,价值观引导,
S017,2,我觉得这样不太好。,价值观引导,
S017,3,如果他让我一起怎么办？,价值观引导,
S018,1,我想交新朋友，可是有点害羞。,生活建议,
S018,2,我第一句话可以怎么说？,生活建议,
S018,3,如果他不回应我该怎么办？,生活建议,
S019,1,有人跟我说作弊没关系。,价值观引导,
S019,2,我觉得这样不太好。,价值观引导,
S019,3,如果他让我一起怎么办？,价值观引导,
S019,4,我可以礼貌拒绝并说明理由吗？,价值观引导,
S019,5,谢谢你，我会坚持正确的做法。,价值观引导,
S020,1,我想交新朋友，可是有点害羞。,生活建议,
S021,1,你现在心情好吗？,日常互动,
S021,2,如果我不开心，你会陪我吗？,日常互动,
S021,3,那你最喜欢我做什么事？,日常互动,
S021,4,我试试多跟你聊天。,日常互动,
S021,5,谢谢你！,日常互动,
S022,1,我想知道彩虹为什么有颜色。,学习辅助,
S022,2,能不能用简单一点的说法？,学习辅助,
S022,3,有没有生活里的小例子可以理解？,学习辅助,
S022,4,我大概明白了，是光分成很多颜色。,学习辅助,
S022,5,谢谢你，我回头和同学分享。,学习辅助,
S023,1,我想每天写日记。,生活建议,
S023,2,一开始要写多少字比较好？,生活建议,
S024,1,我和同桌吵架了，我很生气。,情感支持,
S024,2,他抢我文具，我忍不住大声了。,情感支持,
S024,3,我该怎么冷静下来？,情感支持,
S024,4,等我冷静了再去和他说对不起可以吗？,情感支持,
S024,5,我会试着好好沟通。,情感支持,
